mq2,mq3,mq4,mq6,mq7,mq8,mq9,mq135,humidity,temperature,presence
213,281,404,452,524,483,579,573,25,18.9,0
213,281,404,453,525,483,580,574,25,18.9,0
213,281,404,453,525,483,580,574,25,18.9,0
213,281,404,453,525,483,581,574,25,18.9,0
212,281,404,453,525,484,581,575,25,18.9,0
213,281,405,453,525,484,580,574,25,18.9,0
213,281,404,453,525,483,580,574,25,18.9,0
213,281,404,453,526,484,581,575,25,18.9,0
213,281,404,453,525,484,581,575,25,18.9,0
213,281,405,453,525,484,581,574,25,18.9,0
213,282,404,453,526,483,581,575,25,18.8,0
213,281,404,453,525,484,581,575,25,18.8,0
213,281,404,453,525,484,581,575,25,18.8,0
213,281,404,453,525,484,581,574,25,18.8,0
213,281,404,454,525,483,581,574,25,18.8,0
213,281,404,453,525,484,581,574,25,18.8,0
212,281,404,453,525,484,580,574,25,18.8,0
212,281,404,453,525,484,581,574,25,18.8,0
212,281,404,453,525,484,581,574,25,18.8,0
212,281,404,453,525,483,580,574,25,18.8,0
212,281,404,453,525,483,580,574,24,18.8,0
212,281,404,453,525,484,581,574,24,18.8,0
212,281,404,453,525,484,580,574,24,18.8,0
212,281,404,452,524,484,580,574,24,18.8,0
212,281,404,453,525,484,580,574,24,18.8,0
212,281,404,453,525,484,580,574,24,18.8,0
212,281,404,452,524,483,580,574,24,18.8,0
212,281,404,453,524,483,580,574,24,18.8,0
212,281,404,453,524,484,580,574,24,18.8,0
212,281,404,453,525,484,580,574,24,18.8,0
211,281,404,453,525,483,580,573,25,18.8,0
211,281,404,452,525,484,580,573,25,18.8,0
212,281,404,452,525,484,580,574,25,18.8,0
211,281,404,452,525,484,580,573,25,18.8,0
212,281,403,452,524,484,580,574,25,18.8,0
211,281,404,452,524,483,580,573,25,18.8,0
211,281,404,452,525,483,580,573,25,18.8,0
211,281,403,452,525,483,580,573,25,18.8,0
211,281,404,453,524,484,580,573,25,18.8,0
211,280,403,452,525,483,580,573,25,18.8,0
211,281,404,452,524,484,580,573,24,18.8,0
211,281,404,452,524,484,580,573,24,18.8,0
211,281,403,452,524,484,580,573,24,18.8,0
