mq2,mq3,mq4,mq5,mq6,mq7,mq8,mq9,mq135,result
383,382,380,376,369,368,369,368,373,0
384,384,386,384,383,377,375,373,374,0
384,384,383,381,377,376,377,376,377,0
384,383,380,377,370,369,371,371,375,0
385,385,386,383,382,376,375,373,375,0
385,384,384,381,377,376,377,375,377,0
385,385,383,380,375,374,375,375,377,0
389,389,392,391,393,387,385,382,381,0
389,387,386,384,381,380,381,380,381,0
386,384,380,375,365,364,367,368,375,0
387,388,389,387,385,378,376,374,376,0
386,385,385,383,380,377,377,376,377,0
384,383,380,376,368,367,369,370,375,0
385,385,386,384,381,375,374,372,374,0
384,383,383,380,376,374,375,373,375,0
383,382,380,376,369,368,370,370,374,0
384,384,385,383,381,375,374,372,374,0
384,384,384,382,379,376,377,375,376,0
383,382,379,375,367,367,369,369,374,0
384,384,385,383,381,375,373,371,374,0
384,384,384,383,381,378,378,376,376,0
384,383,380,377,370,370,372,372,375,0
384,384,385,383,380,375,374,372,375,0
385,385,386,384,383,379,379,377,378,0
385,384,381,378,371,371,373,373,376,0
386,386,386,384,382,377,376,374,376,0
385,385,385,383,380,377,378,376,377,0
385,384,382,379,373,372,374,374,377,0
386,385,385,383,380,375,375,373,376,0
386,386,387,385,383,379,379,377,378,0
385,384,381,378,371,371,373,372,376,0
386,386,386,384,381,376,375,373,376,0
386,386,386,384,383,379,379,377,378,0
385,384,381,378,371,371,373,373,376,0
386,386,386,383,381,376,375,373,376,0
386,386,387,385,383,380,379,377,378,0
385,384,381,378,371,371,373,373,376,0
385,385,385,383,380,375,374,373,375,0
386,386,387,385,384,380,379,377,378,0
385,384,381,378,372,372,374,374,377,0
386,386,386,383,380,376,375,373,376,0
386,386,387,385,384,380,380,377,378,0
385,384,382,379,373,372,374,374,377,0
386,386,386,383,380,375,375,373,376,0
386,386,387,386,384,381,380,377,378,0
385,384,382,378,372,372,374,374,377,0
386,386,386,384,381,376,375,374,376,0
388,387,389,387,387,383,382,379,379,0
387,386,383,380,375,375,377,376,379,0
387,387,386,384,380,376,376,374,377,0
387,387,389,387,386,382,381,378,379,0
386,385,382,379,373,373,375,374,377,0
386,386,385,383,379,375,375,373,376,0
387,387,388,387,386,382,381,378,378,0
386,385,383,379,373,374,376,375,378,0
386,386,385,383,379,375,374,373,376,0
387,387,388,387,386,381,380,378,378,0
385,384,382,379,373,373,375,374,377,0
386,385,385,382,379,375,375,373,376,0
387,387,388,387,387,383,382,379,379,0
386,385,382,379,372,373,375,375,378,0
386,386,385,382,378,374,374,372,376,0
387,387,388,387,387,382,381,378,378,0
386,385,383,379,374,374,376,375,378,0
386,385,384,381,377,374,374,373,376,0
387,387,388,387,386,382,381,378,378,0
386,385,382,379,373,373,375,375,378,0
386,385,384,381,376,373,373,372,376,0
386,387,388,387,386,382,380,377,378,0
386,385,383,380,374,374,376,375,378,0
386,385,384,381,376,373,373,372,376,0
386,386,388,387,386,381,380,377,378,0
386,384,383,380,374,374,376,376,378,0
386,385,383,380,375,372,373,372,376,0
386,386,388,386,386,381,380,377,378,0
386,385,383,380,374,374,376,375,378,0
385,385,383,380,375,372,373,372,376,0
387,387,388,386,386,381,380,377,378,0
386,385,383,380,375,375,377,376,378,0
385,385,383,380,374,372,373,372,376,0
386,386,388,386,386,381,380,377,378,0
386,385,383,380,375,375,377,376,378,0
386,385,383,380,374,372,373,372,376,0
387,387,388,387,386,381,380,377,378,0
386,385,384,381,376,376,377,376,378,0
386,385,383,380,374,372,373,373,376,0
387,387,388,386,386,380,379,376,378,0
386,385,384,381,376,376,377,376,378,0
385,385,383,379,374,372,373,372,376,0
386,386,388,386,385,380,379,376,378,0
386,385,384,381,376,376,377,376,378,1
385,385,383,379,374,372,373,372,376,1
387,387,388,386,385,380,379,376,377,1
386,385,384,381,377,376,377,376,378,1
385,384,382,379,373,371,372,372,376,1
386,386,388,386,385,380,379,376,377,1
386,385,384,381,377,376,377,376,378,1
385,384,382,379,372,371,372,372,376,1
386,386,388,386,385,380,378,376,377,1
386,385,384,381,377,376,378,376,378,1
385,384,382,379,372,371,372,372,376,1
386,386,387,386,385,379,378,375,377,1
386,385,384,381,377,376,378,376,378,1
385,384,382,378,372,371,372,372,376,1
386,386,388,386,385,380,378,376,377,1
386,385,384,382,378,377,378,377,378,1
385,384,382,378,372,371,372,372,376,1
387,387,388,386,385,380,378,376,377,1
386,385,385,382,378,377,378,377,378,1
385,384,382,378,372,371,373,372,376,1
387,387,388,386,385,379,378,376,377,1
387,386,385,383,379,378,379,377,379,1
386,385,382,379,372,371,373,372,376,1
387,387,388,386,385,380,378,376,377,1
387,386,385,383,380,378,379,377,379,1
386,385,382,379,372,371,373,373,377,1
387,387,388,386,385,379,378,376,377,1
387,386,386,383,380,379,379,378,379,1
386,385,382,379,372,371,373,373,377,1
387,387,388,386,385,379,378,375,377,1
387,386,386,384,381,379,380,378,379,1
386,385,382,379,372,371,373,373,377,1
387,387,388,386,385,379,378,375,377,1
387,386,386,384,381,379,380,378,379,1
386,385,382,379,372,371,373,373,377,1
387,387,388,386,384,379,378,375,377,1
387,386,386,384,382,379,380,378,379,1
386,385,382,379,372,371,373,373,377,1
387,387,388,386,384,379,378,375,377,1
387,386,386,384,382,380,380,378,379,1
386,385,382,379,372,371,373,373,377,1
386,387,387,385,384,378,377,375,377,1
387,386,386,384,382,380,380,378,379,1
386,385,382,379,372,371,373,373,377,1
386,386,387,385,383,378,377,375,377,1
386,386,386,384,382,380,380,378,379,1
386,385,382,379,372,372,374,373,377,1
386,386,387,385,383,378,377,375,377,1
386,386,386,385,383,380,380,378,379,1
386,385,382,379,372,372,374,374,377,1
387,387,387,385,383,378,377,375,377,1
387,387,387,385,383,380,380,378,379,1
386,385,382,379,373,372,374,374,377,1
387,386,387,385,382,378,377,375,377,1
387,387,387,386,384,381,381,378,379,1
386,385,382,379,373,372,374,374,377,1
386,386,387,384,382,377,376,374,377,1
387,386,387,385,384,380,380,378,378,1
386,385,382,379,373,372,374,374,377,1
386,386,386,384,382,377,376,374,376,1
387,386,387,385,384,381,380,378,379,1
386,385,382,379,373,373,375,374,378,1
387,387,387,384,382,377,376,374,377,1
387,387,388,386,385,381,381,378,379,1
386,385,382,379,373,373,375,374,378,1
386,386,386,384,381,377,376,374,377,1
387,387,388,386,385,381,381,378,379,1
386,385,382,379,373,373,375,375,378,1
386,386,386,384,381,376,375,374,377,1
387,387,388,386,385,381,380,378,378,1
386,385,382,379,373,373,375,374,377,1
386,386,386,383,380,376,375,373,376,1
387,387,388,386,386,382,381,378,379,1
386,385,382,379,373,373,375,375,378,1
386,386,386,383,380,375,375,373,376,1
387,387,388,387,386,381,380,378,378,1
386,385,382,379,373,373,375,375,378,1
386,386,385,383,379,375,375,374,376,1
387,387,388,387,386,382,381,378,379,1
386,385,382,379,373,373,375,375,378,1
386,386,385,383,379,375,374,373,376,1
387,387,389,387,386,382,381,378,378,1
386,385,383,380,374,374,376,375,378,1
386,386,385,383,379,375,375,373,376,1
387,387,388,387,387,382,381,378,379,1
