counter,mq2,mq3,mq4,mq6,humidity,temperature,presence
158,204,278,400,447,24.00,18.90,0
159,203,278,400,447,24.00,18.90,0
160,203,278,400,447,24.00,18.90,0
161,203,278,400,447,24.00,18.90,0
162,203,278,400,447,24.00,18.90,0
163,203,278,400,447,24.00,18.90,0
164,203,278,400,447,24.00,18.90,0
165,203,278,399,447,24.00,18.90,0
166,203,278,399,447,24.00,18.90,0
167,202,278,400,447,24.00,18.90,0
168,203,278,399,447,24.00,18.90,0
169,203,278,400,447,24.00,18.90,0
170,203,278,399,447,24.00,18.90,0
171,202,278,400,446,24.00,18.90,0
172,202,278,400,447,24.00,18.90,0
173,202,278,400,446,24.00,18.90,0
174,202,278,399,446,24.00,18.90,0
175,202,278,399,446,24.00,18.90,0
176,202,278,399,446,24.00,18.90,0
177,202,278,399,446,24.00,18.90,0
178,202,278,399,447,24.00,18.90,0
179,202,278,399,446,24.00,18.90,0
180,202,278,399,447,24.00,18.90,0
181,202,278,399,447,24.00,18.90,0
182,202,278,399,446,24.00,18.90,0
183,201,278,399,446,24.00,18.90,0
184,201,278,399,446,24.00,18.90,0
185,202,278,399,446,24.00,18.90,0
186,201,278,399,446,24.00,18.90,0
187,201,278,399,446,24.00,18.90,0
188,201,278,399,446,24.00,18.90,0
189,201,278,399,446,24.00,18.90,0
190,201,278,399,447,24.00,18.90,0
191,201,278,399,446,24.00,18.90,0
192,200,278,399,446,24.00,18.90,0
193,201,278,399,446,24.00,18.90,0
194,201,278,399,446,24.00,18.90,0
195,201,277,399,445,24.00,18.90,0
196,201,278,399,446,24.00,18.90,0
197,200,278,399,446,24.00,18.90,0
198,200,277,399,445,24.00,18.90,0
199,200,277,399,445,24.00,18.90,0
200,200,277,398,446,24.00,18.90,0
201,200,277,399,445,24.00,18.90,0
202,200,277,399,446,24.00,18.90,0
203,200,278,399,446,24.00,18.90,0
204,200,277,399,445,24.00,18.90,0
205,200,278,399,445,24.00,18.90,0
206,200,277,399,445,24.00,18.90,0
207,200,278,399,446,24.00,18.90,0
208,200,277,398,445,24.00,18.90,0
209,200,278,399,445,24.00,18.90,0
210,200,277,399,446,24.00,18.90,0
211,200,278,398,446,24.00,18.90,0
212,200,277,399,445,24.00,18.90,0
213,200,277,399,445,24.00,18.90,0
214,199,278,398,445,24.00,18.90,0
215,199,277,398,445,24.00,18.90,0
216,199,277,398,445,24.00,18.90,0
217,199,277,398,445,24.00,18.90,0
218,200,277,398,445,24.00,18.90,0
219,199,277,398,445,24.00,18.90,0
220,199,277,398,445,24.00,18.90,0
221,199,277,398,445,24.00,18.90,0
222,199,277,398,445,24.00,18.90,0
223,199,277,399,445,24.00,18.90,0
224,199,277,398,445,24.00,18.90,0
225,199,277,398,445,24.00,18.90,0
226,199,277,398,445,24.00,18.90,0
227,198,277,399,445,24.00,18.90,0
228,199,277,398,445,24.00,18.90,0
229,198,277,398,445,24.00,18.90,0
230,198,277,398,445,24.00,18.90,0
231,198,277,399,445,24.00,18.90,0
232,198,277,398,445,24.00,18.90,0
233,198,277,398,445,24.00,18.90,0
234,198,277,398,445,24.00,18.90,0
235,198,277,398,445,24.00,18.90,0
236,198,277,398,445,24.00,18.90,0
237,198,277,398,445,24.00,18.90,0
238,198,277,398,445,24.00,18.90,0
239,198,277,398,445,24.00,18.90,0
240,198,277,398,444,24.00,18.90,0
241,198,277,398,445,24.00,18.90,0
242,198,277,398,444,24.00,18.90,0
243,198,277,398,444,24.00,18.90,0
244,198,277,398,445,24.00,18.90,0
245,198,277,398,444,24.00,18.90,0
246,198,277,398,444,24.00,18.90,0
247,198,277,398,445,24.00,18.90,0
248,197,277,398,444,24.00,18.90,0
249,198,277,398,444,24.00,18.90,0
250,197,277,397,444,24.00,19.00,0
251,198,277,398,444,24.00,19.00,0
252,198,277,398,444,24.00,19.00,0
253,197,277,398,444,24.00,19.00,0
254,197,277,397,444,24.00,19.00,0
255,197,277,398,444,24.00,19.00,0
256,197,277,397,444,24.00,19.00,0
257,197,277,398,444,24.00,19.00,0
258,197,277,397,444,24.00,19.00,0
259,197,276,398,444,24.00,19.00,0
260,197,277,398,444,24.00,18.90,0
261,197,277,397,444,24.00,18.90,0
262,197,277,398,444,24.00,18.90,0
263,197,277,398,444,24.00,18.90,0
264,197,277,397,444,24.00,18.90,0
265,197,277,397,444,24.00,18.90,0
266,197,277,397,444,24.00,18.90,0
267,197,277,397,444,24.00,18.90,0
268,196,277,397,444,24.00,18.90,0
269,196,277,397,444,24.00,18.90,0
270,196,276,397,444,24.00,19.00,0
271,196,277,397,444,24.00,19.00,0
272,196,277,397,444,24.00,19.00,0
273,196,277,397,443,24.00,19.00,0
274,196,277,397,444,24.00,19.00,0
275,196,277,397,444,24.00,19.00,0
276,196,276,397,443,24.00,19.00,0
277,196,276,397,444,24.00,19.00,0
278,196,276,397,443,24.00,19.00,0
279,196,277,397,443,24.00,19.00,0
280,196,276,397,444,24.00,19.00,0
281,196,276,397,444,24.00,19.00,0
282,196,276,397,444,24.00,19.00,0
283,196,276,397,443,24.00,19.00,0
284,195,276,397,443,24.00,19.00,0
285,196,276,397,443,24.00,19.00,0
286,196,276,397,443,24.00,19.00,0
287,196,277,397,443,24.00,19.00,0
288,196,276,397,443,24.00,19.00,0
289,195,277,397,443,24.00,19.00,0
290,195,276,397,443,24.00,19.00,0
291,196,276,397,443,24.00,19.00,0
292,195,276,397,443,24.00,19.00,0
293,195,276,397,443,24.00,19.00,0
294,195,276,397,443,24.00,19.00,0
295,195,276,396,443,24.00,19.00,0
296,195,276,397,443,24.00,19.00,0
297,195,276,397,443,24.00,19.00,0
298,195,276,397,443,24.00,19.00,0
299,194,276,397,443,24.00,19.00,0
300,195,276,397,443,24.00,19.00,0
301,195,276,397,443,24.00,19.00,0
302,195,276,397,443,24.00,19.00,0
303,195,276,396,443,24.00,19.00,0
304,195,276,397,443,24.00,19.00,0
305,194,276,396,443,24.00,19.00,0
306,195,276,397,443,24.00,19.00,0
307,195,276,397,443,24.00,19.00,0
308,194,276,397,443,24.00,19.00,0
309,194,276,396,442,24.00,19.00,0
310,194,276,396,443,24.00,19.00,0
311,194,276,396,442,24.00,19.00,0
312,194,276,397,443,24.00,19.00,0
313,194,276,397,443,24.00,19.00,0
314,194,276,396,442,24.00,19.00,0
315,194,276,397,442,24.00,19.00,0
316,194,276,397,442,24.00,19.00,0
317,194,276,396,443,24.00,19.00,0
318,194,276,396,442,24.00,19.00,0
319,194,276,396,443,24.00,19.00,0
320,193,276,396,442,24.00,19.00,0
321,194,276,396,442,24.00,19.00,0
322,194,276,396,442,24.00,19.00,0
323,194,276,396,442,24.00,19.00,0
324,194,276,396,442,24.00,19.00,0
325,194,276,396,443,24.00,19.00,0
326,194,276,397,442,24.00,19.00,0
327,194,276,396,443,24.00,19.00,0
328,194,276,396,442,24.00,19.00,0
329,193,276,396,442,24.00,19.00,0
330,193,276,396,442,24.00,19.00,0
331,193,276,396,442,24.00,19.00,0
332,193,276,396,442,24.00,19.00,0
333,193,276,396,442,24.00,19.00,0
334,194,276,396,442,24.00,19.00,0
335,193,276,396,442,24.00,19.00,0
336,194,276,396,442,24.00,19.00,0
337,193,276,396,442,24.00,19.00,0
338,193,276,396,442,24.00,19.00,0
339,193,276,396,442,24.00,19.00,0
340,193,276,396,442,24.00,19.00,0
341,193,276,396,442,24.00,19.00,0
342,193,276,396,442,24.00,19.00,0
343,193,276,396,442,24.00,19.00,0
344,193,276,396,442,24.00,19.00,0
345,193,276,396,442,24.00,19.00,0
346,192,276,396,442,24.00,19.00,0
347,192,276,396,442,24.00,19.00,0
348,192,276,396,442,24.00,19.00,0
349,192,276,396,442,24.00,19.00,0
350,193,275,396,442,24.00,19.00,0
351,193,275,396,441,24.00,19.00,0
352,192,275,396,441,24.00,19.00,0
353,192,276,396,442,24.00,19.00,0
354,192,276,396,441,24.00,19.00,0
355,192,276,396,441,24.00,19.00,0
356,192,275,395,442,24.00,19.00,0
357,192,276,395,441,24.00,19.00,0
358,192,275,396,442,24.00,19.00,0
359,192,276,396,442,24.00,19.00,0
360,192,276,396,441,24.00,19.00,0
361,192,275,396,441,24.00,19.00,0
362,192,275,395,441,24.00,19.00,0
363,192,275,396,441,24.00,19.00,0
364,192,275,395,441,24.00,19.00,0
365,192,275,395,441,24.00,19.00,0
366,191,276,395,441,24.00,19.00,0
367,192,275,395,441,24.00,19.00,0
368,191,275,396,441,24.00,19.00,0
369,191,275,395,441,24.00,19.00,0
370,192,275,395,441,24.00,19.00,0
371,192,275,395,441,24.00,19.00,0
372,191,275,395,441,24.00,19.00,0
373,191,275,395,441,24.00,19.00,0
374,191,275,395,441,24.00,19.00,0
375,191,275,395,441,24.00,19.00,0
376,191,275,395,441,24.00,19.00,0
377,191,275,395,441,24.00,19.00,0
378,191,275,395,441,24.00,19.00,0
379,191,276,395,441,24.00,19.00,0
380,191,275,395,441,24.00,19.00,0
381,191,275,395,441,24.00,19.00,0
382,191,275,395,441,24.00,19.00,0
383,191,275,395,441,24.00,19.00,0
384,191,275,395,441,24.00,19.00,0
385,191,275,395,441,24.00,19.00,0
386,191,275,395,441,24.00,19.00,0
387,191,275,395,441,24.00,19.00,0
388,191,275,395,441,24.00,19.00,0
389,191,275,396,441,24.00,19.00,0
390,190,275,395,441,24.00,19.00,0
391,190,275,394,441,24.00,19.00,0
392,191,275,395,440,24.00,19.00,0
393,191,275,395,441,24.00,19.00,0
394,190,275,395,441,24.00,19.00,0
395,191,275,395,440,24.00,19.00,0
396,190,275,395,440,24.00,19.00,0
397,190,275,395,440,24.00,19.00,0
398,190,275,395,440,24.00,19.00,0
399,190,275,395,440,24.00,19.00,0
400,190,275,395,441,24.00,19.00,0
401,190,275,395,441,24.00,19.00,0
402,190,275,395,441,24.00,19.00,0
403,190,275,395,440,24.00,19.00,0
404,190,275,395,441,24.00,19.00,0
405,190,275,394,441,24.00,19.00,0
406,190,275,395,440,24.00,19.00,0
407,190,275,395,440,24.00,19.00,0
408,190,275,395,440,24.00,19.00,0
409,190,275,395,441,24.00,19.00,0
410,189,275,395,440,24.00,19.00,0
411,190,275,395,440,24.00,19.00,0
412,190,275,394,440,24.00,19.00,0
413,190,274,395,440,24.00,19.00,0
414,190,275,395,440,24.00,19.00,0
415,190,274,394,440,24.00,19.00,0
416,189,275,394,440,24.00,19.00,0
417,190,275,394,440,24.00,19.00,0
418,189,275,394,440,24.00,19.00,0
419,189,275,394,440,24.00,19.00,0
420,189,275,394,440,24.00,19.00,0
421,189,275,394,440,24.00,19.00,0
422,189,275,394,440,24.00,19.00,0
423,189,275,394,440,24.00,19.00,0
424,189,274,395,440,24.00,19.00,0
425,189,275,395,440,24.00,19.00,0
426,189,275,395,440,24.00,19.00,0
427,189,275,394,440,24.00,19.00,0
428,188,275,394,440,24.00,19.00,0
429,189,275,394,440,24.00,19.00,0
430,189,275,394,440,24.00,19.00,0
431,188,274,394,439,24.00,19.00,0
432,188,274,394,440,24.00,19.00,0
433,188,275,394,440,24.00,19.00,0
434,189,275,395,440,24.00,19.00,0
435,188,275,394,440,24.00,19.00,0
436,188,274,394,439,24.00,19.00,0
437,189,274,394,439,24.00,19.00,0
438,188,274,394,440,24.00,19.00,0
439,188,275,394,439,24.00,19.00,0
440,189,275,394,439,24.00,19.00,0
441,188,275,394,439,24.00,19.00,0
442,188,275,394,439,24.00,19.00,0
443,188,275,394,439,24.00,19.00,0
444,188,274,394,439,24.00,19.00,0
445,188,274,394,439,24.00,19.00,0
446,188,274,394,439,24.00,19.00,0
447,188,274,394,439,24.00,19.00,0
448,188,274,394,439,24.00,19.00,0
449,188,274,394,439,24.00,19.00,0
450,188,274,394,439,24.00,19.00,0
451,188,274,394,439,24.00,19.00,0
452,188,275,393,439,24.00,19.00,0
453,188,274,394,439,24.00,19.00,0
454,187,274,394,439,24.00,19.00,0
455,187,274,394,439,24.00,19.00,0
456,188,274,394,439,24.00,19.00,0
457,188,274,394,439,24.00,19.00,0
458,187,274,394,439,24.00,19.00,0
459,187,274,394,439,24.00,19.00,0
460,187,274,393,439,24.00,19.00,0
461,187,274,394,439,24.00,19.00,0
462,187,274,393,439,24.00,19.00,0
463,187,274,394,439,24.00,19.00,0
464,187,274,394,439,24.00,19.00,0
465,187,274,393,439,24.00,19.00,0
466,187,274,394,439,24.00,19.00,0
467,187,274,393,438,24.00,19.00,0
468,187,274,393,439,24.00,19.00,0
469,187,274,393,439,24.00,19.00,0
470,187,274,394,439,24.00,19.00,0
471,187,274,393,439,24.00,19.00,0
472,187,274,393,439,24.00,19.00,0
473,187,274,394,439,24.00,19.00,0
474,186,274,393,438,24.00,19.00,0
475,186,274,393,438,24.00,19.00,0
476,186,274,393,439,24.00,19.00,0
477,186,274,393,439,24.00,19.00,0
478,186,274,393,439,24.00,19.00,0
479,186,274,393,439,24.00,19.00,0
480,186,274,393,438,24.00,19.00,0
481,186,274,394,439,24.00,19.00,0
482,186,274,393,439,24.00,19.00,0
483,186,274,393,438,24.00,19.00,0
484,186,274,393,438,24.00,19.00,0
485,186,274,393,438,24.00,19.00,0
486,186,274,393,439,24.00,19.00,0
487,186,274,393,439,24.00,19.00,0
488,186,274,393,438,24.00,19.00,0
489,186,274,393,439,24.00,19.00,0
490,186,274,393,439,24.00,19.00,0
491,186,274,393,438,24.00,19.00,0
492,186,274,393,438,24.00,19.00,0
493,186,274,393,438,24.00,19.00,0
494,186,274,393,438,24.00,19.00,0
495,185,274,393,438,24.00,19.00,0
496,186,274,393,438,24.00,19.00,0
497,185,274,393,438,24.00,19.00,0
498,185,274,393,438,24.00,19.00,0
499,185,274,393,438,24.00,19.00,0
500,186,274,393,438,24.00,19.00,0
